V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
15.29812205,11.19038319,9.753090128,16.66494395,12.50615847,10.9590506,11.23104174,10.26327793,11.21390723,11.00237706,10.3276986,9.792879625,8.723974177,8.070699924,7.556300448
40.61199652,17.29630688,14.32052355,13.94411622,13.67818742,12.64283674,11.95334921,11.5011974,9.932072625,9.083838866,8.071556737,7.579170045,7.254370797,7.117017449,7.058050354
15.18028086,28.10768861,19.7561406,11.49448155,10.96520521,10.67056153,10.50152477,10.1798265,9.032412405,8.216292205,7.607627116,7.273623352,7.123472462,7.046997167,7.008555883
42.55822757,22.44158118,16.89918178,14.47951683,13.29306169,12.94748841,11.607285,10.34427283,9.157186232,8.224854235,7.650440661,7.312602509,7.166111929,7.099263472,7.061889542
10.58900474,14.96348608,16.61549249,17.73896394,15.31513993,12.46966502,11.09867945,10.50958831,9.898465228,8.937497611,8.042041402,7.49708867,7.252604664,7.097063118,7.024777161
6.427487935,59.15822015,14.8089691,14.51264237,12.00201099,11.56858145,10.92008816,10.54180251,9.419331161,8.610521652,7.996685721,7.488363565,7.242101844,7.134417703,7.068477995
6.327847502,21.08185931,10.26959847,10.35248927,17.88954949,14.60188292,13.92756341,9.498107553,10.35905349,9.745375283,10.22072028,10.04665757,9.856522213,8.978893172,8.301153754
8.109402987,24.70920537,12.97774704,15.28393694,12.90862257,14.42310079,13.00577205,11.5462334,10.8176248,10.16620373,8.980127951,8.175349818,7.65265851,7.363253967,7.174671677
9.148101614,13.76158071,18.25687312,17.60139462,13.56699051,14.18234454,14.89183029,11.77926829,11.32995097,10.73524283,9.287043927,8.412056915,7.773445801,7.411712863,7.214653656
12.0190498,12.13105094,17.14678036,18.05658801,10.55871543,13.87093853,12.2315828,11.45579426,11.23717745,11.04000788,10.41518311,9.438041789,8.63296195,7.960256624,7.480088617
8.143561342,28.20412156,15.90988908,16.71671839,16.80860959,14.5510788,12.58120395,16.56549087,11.05615903,10.18771682,11.43270513,11.15341766,10.41024239,9.261869822,8.384961938
7.131459337,12.49432104,23.9686852,17.35550259,13.46529626,12.07468289,10.93477157,10.68223351,10.37281019,9.346132841,8.228462591,7.628937926,7.29430786,7.138613764,7.065161928
16.46713553,30.85291885,16.32581529,11.60519909,12.70411269,11.92589065,12.53950195,12.32565903,11.22973936,10.37480138,9.574596398,8.607268538,7.789596279,7.338341009,7.174443735
10.68564645,37.75690815,15.77978497,12.56372908,14.04893521,12.73787632,11.55801785,10.63998006,9.923864407,8.834893747,8.079065778,7.49481597,7.23903021,7.099185509,7.052551557
7.207202935,38.31895904,21.21786557,16.75338076,13.52739904,10.64727392,11.31535394,10.79966892,10.61657202,9.910845856,9.046199424,8.238183358,7.636746886,7.265270807,7.108475065
12.08545563,16.02679048,12.23946337,10.11998737,13.0232538,9.660615613,9.95088386,10.92126042,11.23938666,11.56366068,11.61360066,10.75286724,9.643886569,8.65910197,7.924492157
13.44620054,17.29534606,13.1435619,12.51598149,12.98992981,14.55499678,13.74766232,11.58840427,11.0280659,10.32909188,9.329387974,8.469329202,7.798591977,7.351773912,7.16412386
13.48629838,21.8829894,17.44143863,14.67295302,11.3763627,11.80377869,11.7836691,10.32335024,9.628450666,8.658694256,7.949793406,7.494513224,7.224334192,7.112914099,7.048949645
14.50441824,45.03455956,9.294091793,10.24032515,11.071418,10.50938596,12.27897015,12.14799433,11.84900634,10.76659949,10.19983894,9.223141961,8.357886341,7.688183298,7.358103609
15.13228428,12.60562744,15.88107607,15.79411216,14.46279046,12.8350601,12.32398164,10.90862155,10.10492757,9.108842454,8.286849574,7.618077125,7.346006767,7.191887681,7.122367056
25.2265463,21.18485678,12.22697721,13.46807635,13.16054574,11.7394334,12.23579638,10.78823224,10.53838157,9.595306762,8.815472993,7.988978575,7.550183802,7.315378683,7.204818725
7.93193357,11.73462434,10.60903188,12.79662504,9.038536323,11.29351614,13.31814784,12.82749483,12.4242852,11.89890722,11.72777383,10.61808012,9.792085446,8.836591884,8.012196125
13.72438602,20.31882642,12.49982607,10.72211534,12.23576624,10.84440437,10.99924084,11.1829389,10.87501199,10.69906127,9.76911785,8.946816612,8.159010545,7.593922871,7.287228514
