V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,,,,,,
1.487896265,1.362620178,3.897781121,1.38528261,3.164355782,2.906858689,0.749332126,2.223571536,1.11164593,1.112735119,3.489558581,1.673353055,1.391335974,3.407362789,1.6588268,,,,,,
0.377920548,1.57893301,2.207312084,0.729329175,1.949764382,0.957813649,1.160789401,1.324130731,0.579766798,2.589880746,1.575011209,2.994322844,1.888770971,2.516243333,2.190670697,,,,,,
2.009673116,0.999751622,2.486726258,1.046908297,0.978595371,1.052624586,1.081150413,2.204362141,1.422136656,0.631943562,2.241845383,3.747705026,1.958279815,2.192471837,1.787002801,,,,,,
1.377078931,1.907969041,0.48240559,2.019922336,1.107513152,1.563571405,0.624141646,2.897868443,1.031080113,2.447315224,1.451302577,2.446051275,2.7149957,1.024676944,1.10116422,,,,,,
1.61408847,2.248808338,1.362692995,1.641170037,2.022170036,1.342262908,2.577810459,2.994030549,1.642020449,1.543275445,3.859283829,1.933689352,1.061301508,1.691907244,1.64959973,,,,,,
1.703895451,2.698576336,1.774308345,0.891094975,1.725858646,1.494330175,1.769824633,1.901207812,1.036439244,3.010801702,1.42334517,0.895125474,1.366368262,0.432267279,1.564299543,,,,,,
1.249405923,1.373584059,2.43253688,0.985723915,1.480113208,1.193692299,2.101231314,1.044916052,0.857319166,0.612991709,1.260191805,0.806054906,2.824001133,3.079828736,1.893223821,,,,,,
1.363633336,1.001136299,1.674479891,3.149309799,1.398892343,2.41449463,1.178949835,1.466976007,2.574484548,1.361955339,1.174092824,1.959819079,1.221100762,1.099690798,1.105274386,,,,,,
2.047192981,3.222016427,6.952505306,0.893402615,2.071176162,1.301327498,1.726055083,1.134876063,2.840227065,1.519581408,1.869598127,1.119470408,1.376222192,1.972260759,2.278151366,,,,,,
1.939355144,0.919788099,0.89002557,1.223411089,1.697312364,1.623347184,0.939567079,2.270276121,1.444412968,1.136895603,1.345704218,0.917374297,0.799756252,0.889240556,1.83163389,,,,,,
1.419860444,2.325832724,2.605824094,1.154274127,1.447076764,1.439817418,2.595229913,1.863869618,1.420188261,1.690851345,0.945630631,1.815673355,2.112934943,1.781802169,2.090885328,,,,,,
0.891509135,2.02395262,4.312822972,4.756941168,0.901013358,2.68088193,1.337533788,3.853216568,1.620623567,1.575680297,2.129485933,1.881188021,0.632353911,1.419930754,1.406394107,,,,,,
1.566463387,2.146461075,1.72952645,1.560942331,2.742960517,1.06700731,0.543765799,2.577116972,0.514038958,2.419042164,0.877039057,2.85936043,1.36362074,1.986475423,1.335417056,,,,,,
1.261876579,2.044874798,2.873206189,1.016880378,2.573342342,1.012011729,1.691302521,3.255273823,1.524967846,2.487991876,1.896704449,1.05088141,2.819378257,0.906134388,0.396251798,,,,,,
2.644059505,1.252464499,1.478910263,0.798997303,1.157859165,1.605118957,2.515805709,1.827997398,7.459194534,0.906476274,2.000586947,1.268399201,1.836910462,1.548810522,1.928183004,,,,,,
2.756080815,1.283100037,1.757256117,2.35896961,2.039009737,1.793010807,1.270822015,2.434131754,1.848911656,2.129743052,1.693503393,3.948010308,1.342511761,1.970539209,1.818191925,,,,,,
1.471198981,3.410154593,1.739046586,1.646477273,2.077218499,2.088446415,1.58913595,3.297817376,0.541015808,1.287872432,1.928285052,1.87544208,1.080991035,2.412699942,0.52618656,,,,,,
0.793320383,1.361108409,1.517916539,2.859943742,1.617566024,2.423188874,1.134161726,1.541405093,2.74989073,0.977394625,2.915572149,1.307877854,1.079559411,3.383992496,1.347502736,,,,,,
0.811453229,1.485663774,1.620858264,2.168209713,2.921055335,2.23944115,1.013878855,1.737226942,1.936239582,1.339462823,1.97327434,1.437712499,1.638833775,1.427788408,1.565069389,,,,,,
3.439629529,2.087508422,1.550864618,2.085929189,2.241487704,0.95593536,2.557895313,2.245150526,2.406854333,1.450945382,1.827992075,1.687151507,1.986957629,3.579392761,1.217151897,,,,,,
1.009795963,1.272407638,0.645835742,1.80600507,0.8991554,1.560388371,2.0647446,2.747911266,1.17320889,3.349704731,1.720260019,1.474332658,1.675094472,1.631187409,1.206459458,,,,,,
2.365566219,0.829421047,0.731077651,1.846151234,2.850382981,3.937201444,1.659236846,1.606771687,2.210747135,1.518679769,2.626184296,1.942507136,2.372500095,2.20263596,1.978351395,,,,,,
2.80582623,2.527233493,1.192429833,2.010842457,1.913693798,1.728564855,1.567201889,1.084189035,0.951887045,1.737692402,1.888685013,0.968929943,0.84852725,1.64245149,1.22246153,,,,,,
0.648310645,0.759342088,2.603681568,1.224123661,2.948228079,1.079460264,1.614973699,1.505021236,1.507697124,1.696187726,1.848756814,1.897429311,2.650419385,1.112097581,3.421445737,,,,,,
0.64630072,2.241027756,2.313042314,0.904609407,2.244685601,2.460464731,2.564109794,2.019434591,1.201512633,1.075419804,1.493200848,2.172621647,1.397525362,0.786103924,2.074091194,,,,,,
1.436946973,1.20688562,0.990246929,1.492812881,2.991088421,3.27983609,1.355933745,1.413363494,2.098954306,2.301654526,2.032932293,2.372182392,2.110504135,2.587424238,1.96014488,,,,,,
2.965952359,2.530457897,0.750875687,2.506179552,1.386215492,2.600340576,0.869220929,1.440907255,1.39049144,3.014206394,1.329608428,0.594883471,3.045227372,1.374399584,0.842729019,,,,,,
1.218445058,2.639466301,1.83811456,1.904079914,0.904096609,5.351785838,1.618526653,1.123909964,2.401918079,1.119977904,1.030448546,1.154064787,1.748718269,1.73668445,0.613257139,,,,,,
2.493867912,0.809948197,2.275625414,1.449669671,0.941262683,3.133903054,1.865231956,3.226954825,1.1603234,3.834020949,1.830559365,1.050282274,1.539049084,1.795141053,3.378340292,,,,,,
0.818742851,1.737289219,2.344055049,2.431965387,0.666103001,2.356259952,1.094426801,2.667935813,2.21371685,1.326633703,2.294013233,2.001161855,3.678171779,1.526006911,1.942179026,,,,,,
3.157663119,1.667405027,2.628977428,2.189797687,1.516945498,1.546939636,1.685825501,2.161950419,1.620508912,3.407749476,0.832675424,2.397962903,2.673470879,1.470117668,1.247259287,,,,,,
2.242801306,0.752158428,1.350889546,2.312221236,2.668429383,1.155394825,1.038957343,1.666520125,1.040833344,2.065458013,1.055281285,1.388995954,1.358931937,1.846306332,0.656819498,,,,,,
0.813774146,1.774759622,2.472527233,1.378043231,3.249946887,2.029078562,1.585275148,1.517453949,2.690040765,3.880398981,2.42961784,1.831627815,2.412396205,1.338128667,2.237910841,,,,,,
2.088897361,2.268219493,2.044101513,1.882190795,1.194095584,1.383583237,3.308845386,0.859546907,3.23448707,1.126348046,1.997933402,0.967174204,1.44444717,1.238302876,0.875312908,,,,,,
1.049076115,1.124047023,3.574767348,1.46112997,2.181126444,1.057285457,1.471284298,3.180245322,1.295420079,2.028183636,2.867156314,0.777307873,2.010484097,1.021912256,1.39878985,,,,,,
2.584959085,1.610083459,1.219166821,2.521679812,2.737658102,2.130418807,2.220902357,3.069901417,2.281486547,0.94675993,1.007030482,2.515915288,3.488365793,1.618083253,0.577062571,,,,,,
1.416580605,3.947957591,4.080125109,0.916035079,2.080047875,2.761504214,1.465767555,1.097683973,0.853365896,1.888207896,1.534330193,3.163192661,0.885819101,1.959372341,0.986192695,,,,,,
3.104884502,2.137635202,2.073466339,3.864314451,2.42927543,1.130135774,1.375627898,2.421776012,1.251573971,1.364465954,2.389408132,1.570624162,5.688540353,0.762391049,2.188526194,,,,,,
0.882926825,1.5230893,3.26534346,2.265142409,2.996921247,1.038755162,5.480124652,2.349127369,4.359250715,1.235931883,4.966858749,1.727608206,0.540425257,2.225376848,1.440613983,,,,,,
0.745619683,2.587479964,2.547611336,2.138143485,1.91417545,1.375871359,2.69468562,6.830406459,0.852276599,2.170553169,1.477574573,3.742796418,2.910278638,3.683322199,2.411043724,,,,,,
0.894949917,1.556245925,2.340655497,1.569713111,1.643174515,1.148852314,1.761740945,1.606866675,1.906729691,0.790301832,2.242131557,1.82859815,1.222618551,1.813335377,3.155383813,,,,,,
2.057893286,2.614913905,2.660227078,2.059129387,1.409481571,2.480413536,1.866544635,1.570026803,1.040668302,1.549152295,1.991894078,2.006056876,2.672446158,0.971479481,1.894521889,,,,,,
1.14777092,2.86824077,1.953449058,1.285250627,2.155465184,3.107498036,1.53033641,1.495265674,1.081187808,2.173881977,4.050394826,2.325397792,3.254926199,2.430352923,1.664013708,,,,,,
2.0770461,3.450953571,4.504684411,3.50140206,1.818867696,1.992881125,0.653767903,0.921558621,1.259176904,1.989444936,1.038982334,4.475069848,1.764618065,2.493788682,1.146441948,,,,,,
2.776659561,0.995923405,2.253513938,2.265518864,2.479794444,2.401477828,0.703294395,1.867831131,1.179321793,2.024784897,1.213746189,2.50324863,2.376402587,1.20208916,3.765045298,,,,,,
1.593255257,2.553099305,1.185381853,1.798458885,1.746980669,1.554836834,2.288696562,0.906488636,0.988578813,1.898918409,2.747902335,3.066750034,0.740595346,2.017041783,1.150823772,,,,,,
3.854753976,2.280253354,2.613919624,1.621519264,1.526199491,1.547388197,2.047908107,0.769379604,1.71891023,1.959129146,2.145038314,1.558372661,2.651843099,1.532818891,0.955112719,,,,,,
2.402066498,1.480584881,0.905662387,1.395157468,2.66038248,1.251244962,1.307373594,1.094784702,2.047023584,2.562178457,3.788001421,4.533620249,3.36753893,1.234546323,2.430051997,,,,,,
1.734682223,1.900404922,2.270219576,4.773629992,2.565001664,1.829787049,1.351479714,1.612870562,2.053569218,2.748768992,1.10847302,2.219637417,0.952898098,4.955707477,4.459391916,,,,,,
2.848150665,1.779670377,1.773896993,1.343326637,1.388939116,1.508771136,1.35892902,3.134376924,1.970526858,3.790039734,3.367820089,1.983503073,1.60408253,1.503909479,1.59317887,,,,,,
1.259168538,1.444525707,1.21508,2.7208207,2.15321007,1.288546414,1.406221663,1.838959271,1.041025676,0.799639582,0.939230792,0.948439471,1.756742615,0.980648525,0.916568356,,,,,,
3.001509169,3.841440736,1.156336487,1.280726854,1.556336845,2.300023478,0.996335779,4.250372771,3.708369117,2.561522622,2.511810779,5.311623176,2.805803524,0.571744849,2.23919425,,,,,,
1.279785715,2.268360131,0.920456324,1.655488528,6.360012803,1.31813912,1.70169645,0.848774696,2.448355281,1.535505642,1.19256535,3.242406022,1.909290619,4.247859658,2.325291819,,,,,,
1.540577489,0.695585951,3.569589839,0.826847526,2.091728801,2.04658922,2.152928606,1.119808827,2.033321098,1.758094169,2.26713255,0.829370717,2.301358366,1.355134162,0.638173496,,,,,,
1.983124204,2.525470325,1.60106213,1.765873315,1.024575845,1.089662651,1.479160268,1.952387471,2.703994267,1.489767145,2.19576893,1.717793652,1.871571626,1.888519477,1.966984852,,,,,,
4.275348614,2.279939744,2.15632272,0.985525209,1.487605057,1.555047448,1.420658827,1.259128052,1.405755984,2.454480514,1.879873768,1.500517384,2.329346188,1.012072884,1.468019307,,,,,,
1.071790121,3.246206961,5.83402067,2.188063821,2.236889844,1.062991304,1.370323806,2.479879608,2.030623169,1.799174638,1.642493884,3.289661942,1.352162465,2.770831749,2.451781672,,,,,,
1.82231229,1.457723352,2.808557953,1.896586462,1.756188445,1.612509003,2.949802682,1.077347128,2.236064959,1.51000658,1.251960135,1.344997317,2.634015035,1.996252732,2.145654121,,,,,,
1.876283315,1.726763292,2.065058232,1.439351788,2.039442072,1.542127319,1.940577177,1.274937629,3.21596529,1.618270546,1.08594976,1.152700096,1.593066447,4.418842871,1.350947118,,,,,,
0.949729484,1.2868694,1.620450103,3.413206249,2.083427726,1.185504242,6.931233312,1.730718899,0.898852723,1.746369379,1.169244703,1.874746321,1.931548301,1.165723923,2.522772632,,,,,,
1.355254768,3.26905334,1.485500584,2.399004997,1.37022064,1.347419192,1.079311341,1.704019717,1.340068224,1.168255279,2.211452792,1.446207297,1.387918447,2.196349873,2.099466922,,,,,,
1.182940086,1.057840393,1.56108643,1.766315872,1.022116906,0.821409384,2.471652878,0.798239553,1.436324988,3.443210549,1.981089045,1.133378547,2.605802831,2.118679952,1.013570628,,,,,,
2.186704796,1.924060696,1.582772832,2.421838948,1.455694134,1.018372219,1.996055136,2.05204543,0.488383853,1.253736924,1.03154488,2.894634762,2.283209548,2.048835716,1.511661872,,,,,,
1.864732424,0.538391364,1.165943731,2.10804073,3.239888,1.577504433,1.758774603,0.269378137,1.659036805,0.91196956,3.416545939,2.961508949,2.032660113,3.940626263,3.223874236,,,,,,
1.264170239,2.597609631,1.269592323,2.026654168,1.313208001,1.445561377,2.800809376,2.193712756,2.831035246,1.363713347,4.662404403,1.964144849,1.994264458,4.295867234,2.020272743,,,,,,
1.251080301,1.513030019,2.495970819,1.19666171,0.726113422,2.002895826,1.315355187,0.700568629,1.020613408,1.822378392,1.5872376,1.162965783,1.089287453,1.276472742,2.324472562,,,,,,
