"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
2,10,30,72,167,386,842,1420,1830,1701,1116,642,308,136,62,22,11,5,0,1,0
3,10,27,53,134,303,594,1162,1651,1753,1349,746,428,216,114,57,27,23,11,6,0
2,3,11,18,40,74,221,444,872,1437,1726,1657,1056,584,252,141,60,20,12,8,2
1,4,2,1,9,30,40,81,185,321,703,1183,1734,1678,1242,726,340,193,104,41,19
5,1,7,10,11,35,86,220,488,992,1575,1778,1536,923,529,273,126,45,27,8,5
1,3,6,17,34,79,191,418,799,1334,1724,1668,1140,615,339,151,82,45,16,10,4
4,8,6,28,95,195,418,824,1441,1760,1612,1049,651,307,167,84,49,22,9,5,1
2,3,14,40,90,222,439,854,1310,1697,1585,1135,662,322,175,84,36,23,10,7,4
2,1,11,21,47,85,195,400,753,1343,1641,1646,1193,647,344,163,76,43,16,11,4
2,3,15,26,53,143,300,656,1192,1692,1708,1328,755,400,205,71,54,26,15,4,0
3,1,6,4,5,7,20,39,95,248,507,1005,1545,1786,1484,937,510,251,126,49,22
2,4,14,28,53,119,234,542,1035,1562,1817,1439,905,477,275,109,57,36,13,10,4
1,1,1,5,20,46,101,235,439,733,1202,1748,1591,1144,719,393,178,73,41,23,4
3,6,15,41,73,181,436,838,1400,1836,1572,1021,587,312,137,95,30,12,5,5,1
2,2,0,1,4,3,7,13,37,85,202,387,808,1163,1652,1584,1195,694,380,197,104
1,1,6,23,52,157,331,700,1197,1688,1685,1316,704,416,196,105,40,25,12,6,1
3,2,10,15,38,97,169,414,873,1377,1667,1604,1116,669,315,184,75,45,18,4,1
4,9,33,64,140,310,633,1169,1638,1664,1309,849,437,220,106,46,30,13,6,1,1
3,9,30,43,137,269,539,1066,1670,1733,1388,862,491,252,120,64,24,4,6,1,0
2,1,9,21,49,127,264,491,987,1550,1831,1439,927,538,284,137,63,33,15,4,1
1,3,2,4,9,23,48,137,286,576,1062,1533,1746,1406,899,498,224,114,59,27,15
2,8,17,57,132,269,558,1099,1647,1707,1398,874,499,260,121,51,18,10,8,4,1
2,2,4,10,14,12,28,65,134,327,755,1357,1738,1665,1208,659,302,182,98,51,21
1,3,6,7,17,26,87,179,390,810,1386,1716,1567,1131,676,338,181,104,56,30,10
2,12,19,39,94,169,388,760,1317,1705,1683,1092,643,344,149,93,41,28,11,4,0
1,3,7,23,37,82,163,373,723,1172,1623,1648,1262,757,380,161,92,33,21,8,7
3,12,24,65,175,342,761,1287,1703,1684,1223,686,342,167,81,46,24,11,3,0,0
4,10,21,38,124,273,613,1090,1721,1665,1350,845,461,240,130,52,22,13,4,4,3
