"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
2,0,7,10,12,17,21,35,49,64,113,187,264,455,621,781,888,900,721,588,471
2,5,13,29,33,57,92,158,243,357,524,735,907,908,771,572,404,322,183,130,98
3,8,17,15,37,37,70,99,184,248,390,572,739,844,867,750,577,457,319,215,107
3,6,8,10,29,36,59,76,132,208,316,447,606,878,877,874,667,513,368,256,188
1,4,0,4,3,9,14,12,36,37,78,106,146,171,289,423,611,741,794,749,638
2,4,8,9,12,24,27,46,80,128,191,283,381,557,767,824,849,744,562,427,301
7,10,12,14,28,41,63,104,201,287,445,586,687,799,763,666,535,428,269,228,122
2,5,1,10,14,12,20,44,48,89,137,246,367,527,591,824,827,824,630,445,347
4,1,2,10,14,24,32,72,117,216,302,394,555,671,731,723,675,576,434,334,231
2,5,14,32,41,71,125,197,315,474,693,844,876,813,753,563,361,220,164,117,52
3,7,10,10,11,7,7,29,54,83,138,214,319,446,656,767,840,855,748,538,389
2,7,13,18,39,58,88,182,277,516,722,882,876,878,715,538,400,267,146,99,67
6,9,13,19,32,54,92,169,288,422,549,714,818,794,761,580,429,308,194,105,80
7,9,20,27,66,91,155,237,349,490,617,781,853,816,643,503,389,252,169,111,61
8,4,9,6,13,15,31,55,84,152,175,263,428,623,806,828,819,690,626,405,282
5,20,32,43,36,53,98,162,230,292,430,592,666,740,721,590,505,411,255,174,121
3,6,9,8,10,40,64,93,142,215,328,429,570,708,747,805,627,516,388,264,158
2,1,1,0,5,6,13,15,32,39,60,103,179,347,554,798,912,1020,897,656,426
3,4,12,24,46,62,101,180,269,427,533,635,822,771,646,502,354,282,218,145,117
1,4,4,4,6,5,18,29,55,89,120,178,278,426,596,730,823,840,728,617,399
3,7,9,5,5,12,23,49,97,138,254,379,502,627,721,757,730,686,570,414,285
4,8,21,41,71,118,198,300,467,628,748,854,803,690,564,433,289,180,122,67,36
3,1,10,8,15,32,60,95,147,224,309,469,689,837,895,768,662,521,354,244,175
1,4,11,34,66,111,224,329,469,581,742,815,876,752,598,434,290,201,125,76,44
1,0,1,5,17,15,26,33,46,69,98,149,228,296,494,649,806,874,886,682,458
2,2,11,18,25,50,82,132,186,303,496,594,752,790,814,694,545,370,258,196,119
2,3,4,4,6,10,13,16,29,40,49,106,134,217,378,470,628,792,818,789,608
2,6,11,9,14,36,54,91,143,258,367,559,661,772,830,719,668,476,366,265,135
3,3,9,16,18,37,54,80,132,176,295,464,574,760,837,848,707,585,406,298,184
4,5,7,8,10,15,24,28,35,62,90,154,216,294,420,606,763,838,781,663,519
8,26,41,80,106,218,315,500,665,825,889,898,733,536,348,235,139,101,64,39,15
3,5,2,5,3,9,16,19,31,81,151,225,327,499,621,758,878,829,623,473,362
7,7,4,15,24,41,73,90,195,284,457,617,699,805,824,656,541,428,282,198,123
2,4,7,12,22,43,104,166,298,401,651,836,960,910,770,552,418,228,164,136,83
3,9,20,52,83,127,198,264,332,495,672,800,802,742,692,522,414,301,202,111,75
3,1,1,2,4,4,4,4,2,4,6,1,3,12,22,37,45,96,139,212,340
1,1,3,1,4,7,11,15,16,46,74,101,209,307,481,701,789,868,765,667,477
4,9,13,33,71,103,181,302,461,663,794,875,875,696,519,412,260,174,103,67,59
2,1,7,9,30,29,49,60,132,242,329,462,657,853,880,805,682,527,362,272,181
