"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1.34607180144999,0.920563706705531,1.86901694937259,1.61536825215223,1.69938780713775,1.51099913272724,1.49250000526252,1.49293474990627,1.42994963156374,1.36993914594791,1.28403496346849,1.17905646742545,1.10423637732727,1.05306647444614,1.02634709908109
"2",2.07581167491401,1.63041942327098,2.05930883606911,1.67599283850342,1.50175874587069,1.4936902863947,1.4834673121733,1.38473831219374,1.28672891724127,1.18014270732544,1.11440422208178,1.06281467197271,1.03363718996315,1.01826620141429,1.00914056943343
"3",2.07581167491401,1.72268132792901,1.79131640781898,1.58769088353749,1.64107946655145,1.55589781583369,1.48864331562883,1.37522647955617,1.27108821979596,1.19564465055067,1.12048188837841,1.07110673310961,1.04376172436735,1.02293709172148,1.0075563333798
"4",2.337703117195,1.67220175040166,1.73428981236774,1.54173698278184,1.47513354366936,1.45293390306523,1.48039928528202,1.42221580426343,1.33923658283271,1.25502909512126,1.17355687971667,1.09237887823471,1.04355011979471,1.02018313839854,1.00941976939017
"5",1.89748429536571,1.7096286985376,1.88110522533067,1.50514467108111,1.44242358601313,1.42623839602073,1.42505565211409,1.44561694158631,1.40142019769845,1.30973700867572,1.2109196456708,1.12876565222063,1.06235084027935,1.03415400526734,1.01871647719238
"6",1.34607180144999,1.55300020012103,1.31896699338445,1.27247618776084,1.45333940327069,1.49094425705156,1.36733566865103,1.52251259876814,1.57378631434611,1.4838398151973,1.4096047818507,1.31672936121671,1.19432006279785,1.10667730750065,1.05755790289669
"7",1.66304106634204,1.81407189451378,1.62323230801626,1.59493968039612,1.53943347337326,1.50417898047257,1.50156036671865,1.47838572798628,1.36834762748048,1.28316745045695,1.20155480266848,1.11937716561745,1.06184436595502,1.03368833242729,1.01612478342704
"8",2.07581167491401,1.91170255045224,1.76903037610396,1.58496514756372,1.68545815544321,1.58305971111966,1.42662654065231,1.37141882468364,1.26446680954269,1.15577247997029,1.09203257900361,1.05120316826951,1.02523653379438,1.01076083965649,1.00603770771629
"9",1.89748429536571,1.4587972605654,1.51121593751244,1.48763881891522,1.51310111044819,1.52761780962815,1.41521860189532,1.43881796378476,1.45318973057074,1.37917578583157,1.278123916471,1.20292934508074,1.12955596061354,1.07178069024092,1.0378645351967
"10",1.34607180144999,1.121523411435,1.37943951033954,1.74812162933628,1.47702967655644,1.8653184609828,1.62869904058726,1.51128649839617,1.45663360007241,1.35821828683697,1.25328195583562,1.1475635992762,1.07085722196857,1.035763111066,1.01611385744184
"11",1.66304106634204,1.449547383778,1.58807101064716,1.71067544858944,1.71292775132619,1.53158302576623,1.45612030917511,1.41717740832464,1.38437874615581,1.28788381254344,1.21590988006424,1.14557852856345,1.08697502926847,1.05020131275047,1.02535858694402
"12",1.89748429536571,1.76064910659969,2.00676509424934,1.44258270329438,1.38334278557083,1.4323556030402,1.4755966391452,1.42750828654932,1.38333630192067,1.31146974499983,1.19176829823313,1.10777574372903,1.05978592529246,1.03045482760012,1.01499338914352
"13",1.89748429536571,1.37943951033954,1.51281349946337,1.27874076941191,1.37531216065333,1.46101362133879,1.51518421228536,1.5745122929047,1.5617708223124,1.45807906218614,1.32441674966897,1.22443944215231,1.1276914571939,1.06580966699606,1.03796415263592
"14",2.07581167491401,2.08748687080178,1.83619312309925,1.67524222450682,1.5932921274379,1.50481921098209,1.45696041177737,1.33274132700231,1.22000967875381,1.11913265280428,1.06148515066903,1.03270359077585,1.01446072859246,1.00693038652906,1.00395246477299
"15",0.962633022353625,1.18377803601257,1.22917591636315,1.28989015617119,1.22757621959973,1.19050292029103,1.45848025140075,1.48409084610234,1.55619304863793,1.50254152662933,1.49715007542402,1.42197354890598,1.38335994619864,1.27433851482975,1.17511869048257
"16",2.07581167491401,1.05884884039487,1.31896699338445,1.19916792278887,1.32449804070071,1.45619261533196,1.4154963698336,1.59947235771739,1.55896271152412,1.47336101345248,1.39330818604454,1.33098196204071,1.23191302457826,1.14549842440358,1.08567600665802
"17",2.07581167491401,1.5793990160496,1.55230666388056,1.64178005940177,1.59127286283888,1.4757117698424,1.43125675822075,1.46523609371944,1.39714719038116,1.30770967747855,1.19847279611045,1.12187683272181,1.06097990044322,1.03424984974902,1.01293623933839
"18",1.89748429536571,1.4587972605654,1.93102292945462,1.6646278859927,1.60662905365721,1.55249487616791,1.52021499932209,1.43950261668729,1.31791344970898,1.21579761976793,1.1387766710837,1.08113422774704,1.0466515678242,1.02177355503386,1.01249876741512
"19",1.34607180144999,1.82367165548012,1.81649932338966,1.61785938364974,1.51733455889238,1.51168336929101,1.49366363712983,1.44567020966133,1.37886902907744,1.29533586424437,1.1975786426039,1.11028066820678,1.05749262880014,1.03531154307029,1.02302448159545
"20",1.89748429536571,1.4587972605654,1.33174399018894,1.522777424906,1.59645173820961,1.49696363333672,1.47928337648798,1.50672739585142,1.5237480578904,1.3763126787162,1.27602043798781,1.17812193902471,1.11040316357314,1.05474238077208,1.0242573319207
"21",1.34607180144999,1.74430672668221,1.66868387132709,1.8795547486779,1.52304763380211,1.49601119948302,1.44611439077777,1.45521269037269,1.39483593003916,1.29998342274516,1.20088191815577,1.11159843993706,1.05542467038065,1.02796845445234,1.01328304816191
"22",1.66304106634204,2.01229926229112,1.46473040546267,1.25577041293503,1.27142354273089,1.45560743186333,1.46243982124244,1.45521892516438,1.473683216743,1.4328326553331,1.34944814769048,1.23272353661613,1.1405850188856,1.07698162579568,1.03865069528726
"23",1.34607180144999,1.74430672668221,1.54682710490516,1.70253855338858,1.75185523590567,1.66771420848481,1.56978639880907,1.48132988407439,1.35897500090219,1.24453486103764,1.13270502250732,1.062459186875,1.03393052859933,1.01704435460522,1.00781522352586
"24",1.34607180144999,1.74430672668221,1.10006681095592,1.28969616800587,1.37503094027993,1.48048326858818,1.62493345585206,1.68266177368784,1.56116482121979,1.47265203532467,1.33448196627298,1.22714016031857,1.13769230810489,1.08024396984209,1.04348026063193
"25",2.43974391347954,1.93882713107271,1.52996075522518,1.57817793127406,1.44168618822958,1.43947929667605,1.44380428846178,1.40362522953123,1.32698965226471,1.23592714509796,1.15851335565975,1.08429528606299,1.0420989797587,1.02160037920986,1.01112319200021
