V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
10.93185708,18.45704085,15.54753828,13.5590185,13.02895981,12.07205559,10.67029775,10.08988229,9.565597794,8.399625911,7.876248758,7.488711965,7.275635252,7.149425882,7.092471818
18.27899965,25.20603412,15.98709982,13.14094465,11.49037454,10.8274767,9.362150069,8.30130255,7.763482524,7.381987724,7.156317512,7.092731241,7.053235956,7.034190605,7.025910264
19.23994187,22.66884738,16.12661535,12.44808139,11.43198365,10.27853451,10.07191793,9.197138719,8.264454136,7.688493076,7.383324534,7.173305365,7.128137336,7.061820682,7.045553718
7.034979748,15.73388017,10.9900879,11.31372868,12.74871809,11.65876678,11.06577365,11.04556501,10.71063029,10.97036848,9.872735113,9.286137554,8.405030273,7.936637568,7.4858823
13.04865551,9.397849873,11.07761634,9.560855837,12.62116842,15.37012845,12.09453334,11.20874338,11.26200623,10.05298294,9.124285395,8.263967791,7.685317069,7.347516224,7.197172611
14.75382578,7.001015322,9.489580066,20.63022064,13.07029811,10.99931082,10.01403567,10.73761291,9.971933693,9.80839612,8.680573715,8.044040672,7.56856589,7.249405382,7.138654362
15.99562718,21.05392052,16.55507689,11.960729,12.04030101,10.52044405,9.867538752,8.904196588,8.308650686,7.758555009,7.469734206,7.25986443,7.163370118,7.070887978,7.018965828
17.17031994,25.70871801,17.84448602,11.50317564,11.29016421,10.89353977,10.30636813,9.3185599,8.292347714,7.751418099,7.444123811,7.263067499,7.201931863,7.132003609,7.11188013
13.97006213,10.31831177,11.84995347,8.953815512,8.932276569,9.744840511,9.895407815,10.49525789,10.89228961,10.89473062,9.68209612,8.799588552,8.090953384,7.459043604,7.229445659
29.00639269,17.66129206,12.28699556,13.52834186,10.61907452,9.70886012,9.333686943,9.264802785,8.758952284,8.181702121,7.709186601,7.348986233,7.191579064,7.072830313,7.040372948
15.79543771,11.81481627,19.03610746,12.3746963,12.29472648,11.63705709,10.63607821,9.221969797,8.179180656,7.596118338,7.264730997,7.110657293,7.023080955,6.988865675,6.964175938
18.21961925,11.80484276,10.0628223,11.10884923,12.28610053,11.71112555,11.19767599,11.97725797,11.16510781,9.924926073,9.152640657,8.403766561,7.754485303,7.340701474,7.129801407
15.89618949,13.78613242,13.11403691,10.7525026,12.42382595,13.23915931,12.33258576,11.04403419,9.421945018,8.587140069,7.936092173,7.526020331,7.255599836,7.124783196,7.065318752
13.27631704,18.4951174,18.48193661,9.210387324,10.27684611,10.9673779,10.49318131,10.87451478,10.03180453,9.016822533,8.116639222,7.555467825,7.296411744,7.141613584,7.074836782
23.33886503,10.31244395,11.60073159,12.50355116,12.17222777,13.86914077,12.47150059,11.12050064,9.973598488,9.364544486,8.367020562,7.723976173,7.416499541,7.21086695,7.124677663
13.9576082,12.8261792,13.60179653,14.99153211,12.79732456,11.31759395,11.18417021,10.73547885,11.24263078,10.4271777,9.221302925,8.269248928,7.709631353,7.401386736,7.212484719
12.35746666,14.57273152,13.58353535,9.752495132,10.02755743,10.48015171,9.759296611,10.63350341,11.1227794,10.68777042,9.549556948,8.754305718,7.948486937,7.542545576,7.309911009
11.92913469,9.213302369,11.46905286,11.04864929,9.412727772,9.991057903,11.29165246,11.55414905,10.92618817,9.923141498,9.63413273,9.214457798,8.308685617,7.678554044,7.397630261
16.65585008,10.96434074,13.0860756,14.07834212,13.6412913,13.24753453,11.45219738,10.92751466,9.685522513,9.00052735,8.151475943,7.567402819,7.248220906,7.108298121,7.031003074
14.5746063,11.45354448,10.5710783,11.61027071,10.85211113,12.01992871,12.88149713,13.18981252,11.48515518,10.24811044,9.055918996,8.015844696,7.493296796,7.269144034,7.12682347
19.35793973,10.04143679,9.26685482,13.82653754,13.43314158,11.916254,13.63485599,11.21263215,9.766723852,8.642660565,7.845712556,7.445384937,7.20621288,7.07991132,7.027631643
18.94292995,19.23226935,12.11054017,11.39018157,10.77666858,12.0315139,11.03143741,10.84008983,10.17528982,9.060414126,8.275757646,7.687244873,7.358686796,7.162338807,7.078601191
21.21474213,11.92729683,10.16093354,12.77190655,10.6778728,11.19681088,11.27287168,10.52346205,9.70954451,8.924694844,8.069514673,7.68986208,7.343364349,7.202247856,7.148043815
13.94145903,22.46103847,12.72297118,15.04397308,12.24386073,12.280345,11.10767107,9.951207142,9.096912474,8.182764333,7.637909735,7.319025994,7.137964833,7.037825094,7.000183748
16.46010687,19.37295517,12.96288787,13.08329756,12.34729849,10.43153171,10.47502971,9.833883967,9.094680159,8.390493993,7.69691003,7.390571904,7.203092126,7.094556238,7.028787849
19.70730979,16.99829895,10.55568392,11.19146333,13.06756946,12.37887365,11.38535691,10.7313296,9.778368487,8.774615088,8.194563925,7.608896626,7.380119334,7.211857101,7.155471882
15.83308358,13.36005201,11.72655677,13.36198303,13.65088756,11.84467037,10.93363047,10.44552068,9.54391437,8.742289858,8.018192316,7.618335646,7.259349532,7.106065842,7.02795164
15.73194082,18.39012919,10.70146223,11.18802543,12.62552151,11.81215978,10.80884781,10.21132292,9.687262144,9.029824626,8.332111707,7.841092667,7.440366412,7.234864308,7.10074884
15.85386918,26.18113302,12.86473402,12.81704055,11.29810683,9.478313349,10.03582398,9.353620576,8.791063574,8.190370216,7.672294512,7.377097972,7.153902922,7.047749078,6.99062969
14.66971891,14.20004319,9.352856061,13.80286064,12.57133194,11.48657667,12.42705629,10.33723022,10.07916692,9.150339799,8.208865925,7.60580552,7.339565251,7.207075792,7.136638378
20.85544401,14.32420137,14.68003319,12.79822684,14.10663698,11.27386399,9.794327928,8.987596425,8.409401698,7.807890356,7.486054342,7.250372975,7.12792592,7.091823218,7.067737943
